наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото
Шоколад КРАСКОНОВСКИЙ молочный 100 г ( с часовней);;60.49 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848716;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/5a1e262a1bf3c39f2fcd57b7aa9b95bb.jpg
Шоколад КРАСКОНОВСКИЙ молочный 100 г;;60.49 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848715;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/0a6114971ee57adcc6ae0a3e5bdbbdc3.jpg
Шоколад РАДОСТЬ В ЛАДОШКЕ;"СОСТАВ: темный шоколад (сахар, какао-тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин соевый, ароматизаторы пищевые: «Ванилин», ""Тоффи"", ""Коньячный""), белый шоколад (сахар, какао-масло, сухие молочные продукты, эмульгатор — лецитин соевый, ароматизаторы пищевые ""Ванилин"", ""Молочный шоколад"") шоколад с фундуком ( сахар, какао-тертое, какао-масло, ядро ореха фундука жареное дробленое, эквивалент какао-масла, эмульгатор-лецитин соевый, ароматизаторы пищевые:  «Ванилин»,  «Бейлис»).Содержит до 5 % эквивалента какао-масла. Массовая доля общего содержания сухого остатка какао 42,5% (± 2,0%), массовая доля масла какао 29,3% (±1,5%), массовая доля насыщенных жирных кислот 21,5% и трансизомеров ненасыщенных жирных кислот до 0,14%, сухого общего остатка молока 5,3% (±1,0%), молочного жира 1,1% (± 0,5%). ПИЩЕВАЯ ЦЕННОСТЬ 100 Г: БЕЛКИ – 5,5 г; ЖИРЫ – 36,0 г; УГЛЕВОДЫ –  50,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:   550  ККАЛ/2300 кДж ГОСТ 31721-2012УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре от 5° С  до 22°С и относительной влажности воздуха не более 70%, избегать попадания  прямых солнечных лучей";71.20 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848714;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/b27bbd4e641683d604d85c7b1f0be999.jpg
Кондитерский батончик ПРЕМЬЕРА СЕЗОНА со вкусом халвы;42 Г;11.60 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848713;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/768049091d75a92c009ae9453fb4c647.jpg
Кондитерский батончик ПРЕМЬЕРА СЕЗОНА вкус в ассортименте;42 Г;11.84 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848711;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/cff8bda411181a9833e57174a2db9234.jpg
Фасованные конфеты СУФЛЕ С АРОМАТОМ ЛИМОНА;"Это конфеты, глазированные шоколадной глазурью, с нежным сбивным  корпусом. Корпус (начинка) представляет собой сбитую на яичных белках массу с добавлением яблочной подварки.   Соответственно наименованиям конфеты имеют выраженный приятный вкус и  аромат  лимона.  Конфеты отличаются сравнительно небольшой калорийностью и лёгкостью.Состав:«Суфле с ароматом  лимона»  Сахар, шоколадная глазурь, патока, подварка яблочная, пенообразователь — яичный белок, желирующий агент — агар, кислота лимонная, ароматизатор,идентичный натуральному: «Лимонный», пищевой натуральный краситель (жёлтый).Пищевая ценность 100г: белки — 3,0 г; жиры — 9,0 г; углеводы — 71,0 г.Энергетическая ценность 100 г: 370 ккал/1550 кДж. Срок годности : 2 месяца.Конфеты выпущены по ГОСТ 4570.";75.48 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848710;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/fcdfb9204500b71288c188005cee0f41.jpg
Фасованные конфеты СУФЛЕ С АРОМАТОМ ВАНИЛИ (багульник)  65 Г;"Это конфеты, глазированные шоколадной глазурью, с нежным сбивным  корпусом. Корпус (начинка) представляет собой сбитую на яичных белках массу с добавлением яблочной подварки.   Соответственно наименованиям конфеты имеют выраженный приятный вкус и  аромат  ванили.  Конфеты отличаются сравнительно небольшой калорийностью и лёгкостью.Состав:Сахар, шоколадная глазурь, патока, подварка яблочная, пенообразователь — яичный белок, желирующий агент — агар, регулятор кислотности-кислота лимонная, ароматизатор пищевой «Ванильно-сливочный».Пищевая ценность 100г: белки — 3,0 г; жиры — 9,0 г; углеводы — 71,0 г.Энергетическая ценность 100 г: 370 ккал/1550 кДж. Срок годности : 4 месяца.Конфеты выпущены по ГОСТ 4570.";31.60 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848709;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/d9a70548b0979ee1b11ff7ad96b6bf10.jpg
Фасованные конфеты СУФЛЕ С АРОМАТОМ ВАНИЛИ;"Это конфеты, глазированные шоколадной глазурью, с нежным сбивным  корпусом. Корпус (начинка) представляет собой сбитую на яичных белках массу с добавлением яблочной подварки.   Соответственно наименованиям конфеты имеют выраженный приятный вкус и  аромат  ванили.  Конфеты отличаются сравнительно небольшой калорийностью и лёгкостью.Состав:«Суфле с ароматом  ванили»  Сахар, шоколадная глазурь, патока, подварка яблочная, пенообразователь — яичный белок, желирующий агент — агар, регулятор кислотности-кислота лимонная, ароматизатор пищевой «Ванильно-сливочный».Пищевая ценность 100г: белки — 3,0 г; жиры — 9,0 г; углеводы — 71,0 г.Энергетическая ценность 100 г: 370 ккал/1550 кДж. Срок годности : 2 месяца.Конфеты выпущены по ГОСТ 4570.";75.48 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848708;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/2b93a6088f0be5e9ea803a4d952dd485.jpg
Фасованные конфеты КРАСНОЯРСКИЙ ВАЛЬС (блистер);;264.60 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848707;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/894a3a95921c3dde7558e9d075ef63b8.jpg
"Торт ""Шоколадно-вафельный"" мини";"СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин Е322, эмульгатор Е476, ароматизатор, идентичный натуральному «Ванилин»), сахар-песок, жир специального назначения, сыворотка сухая молочная, вафли листовые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин Е322), ядро ореха кешью и фундука жареное тертое, какао-порошок, ароматизатор, идентичный натуральному «Ванилин».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки - 5,5 г; жиры - 35,0  г; углеводы — 53,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:   550 ккал/2300 кДж ОСТ 10-060-95УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (18 3)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей";196.55 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848706;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/719ab6db90a078c88a9d2184c0c56e08.jpg
