наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото
Набор шоколадных конфет САЯНСКИЕ СЛИВКИ  525 Г;"Ассортимент 1. Конфеты Саянские озера вз 12 шт 2. Конфеты Саянские поля вз 14 шт 3. Конфеты Саянские сливки вз 12 шт СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин Е322, эмульгатор Е476, ароматизатор, идентичный натуральному, «Ванилин»), сахар-песок, молоко цельное сгущенное с сахаром, патока крахмальная, пюре черники, белок яичный сухой восстановленный, студнеобразователь — желатин, стабилизатор — мальтодекстрин Е1400, влагоудерживающий агент — пищевые волокна (нутрилоза) Е1200, экстракт зеленого чая, студнеобразователь — агар Е406, регулятор кислотности — кислота лимонная Е330, комплексообразователь — фосфомикс Е331, студнеобразователь — пектин Е440, глицерин Е422, ароматизаторы, идентичные натуральным: «Сливки», «Пломбир», «Черника», «Зеленый чай»; красители пищевые: Е120, Е141.ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки — 2,5 г; жиры  - 8,0 г; углеводы  -   71,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 г:     360 ккал/ 1510 кДж ГОСТ   4570-93УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (183)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей СРОК ГОДНОСТИ 3 МЕСЯЦА";266.90 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848694;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/4e91eedcc2f1df376eaba55e8136c16c.jpg
Набор шоколадных конфет САЯНАЛЕ КЛУБНИЧНЫЙ  450 Г;;283.50 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848693;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/e1c9d26f351476f35892654f16323eb8.jpg
Набор шоколадных конфет ПРИМИТЕ ПОЗДРАВЛЕНИЯ !  350 Г;1. Конфеты Саянские сливки - без этикета 10 шт 2. краскоша на енисее без этикета 5 шт 3. красноярье-без этикета 1 шт 4. Конфеты Краскоша вечерком - без этикета (для фасовки) 5 шт 5. Конфеты Симонель - без этикета 6 шт;156.09 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848692;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/f84f59e10e318be4f7e2c85d366d5f4b.jpg
Набор шоколадных конфет ПОЛЕВЫЕ МАКИ  577 Г;"Конфеты Краскоша вечерком вз 7 шт 2. Конфеты Мой Красноярск м вз 7 шт 3. Конфеты Полевые маки вз 15 шт 4. Конфеты Саянские жарки вз 12 шт СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин Е322, эмульгатор Е476, ароматизатор, идентичный натуральному, «Ванилин»), сахар-песок, молоко цельное сгущенное с сахаром, молоко цельное сухое, патока крахмальная, какао тертое, какао-масло, ядро ореха фундука жареное тертое, ядро арахиса жареное, ядро ореха кешью жареное тертое, масло из коровьего молока, кокосовое масло, какао-порошок, вафли молотые (мука пшеничная первого сорта, масло растительное, соль пищевая, сода пищевая,  эмульгатор — лецитин Е322), алкоголь (спирт этиловый пищевой, коньяк), регулятор кислотности — кислота лимонная Е330, ароматизаторы, идентичные натуральным: «Ванильный», «Молочный шоколад», «Миндаль», «Бейлис», «Тоффи шоколадный»; краситель пищевой Е160.ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки — 5,0 г; жиры  -  23,0 г; углеводы  -  63,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г: 480 ккал/2010 кДж ГОСТ   4570-93УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (183)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей  СРОК ГОДНОСТИ 3 МЕСЯЦА";266.90 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848691;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/63f71b8314dcd79696a7185c4786a65e.jpg
Набор шоколадных конфет МОЙ КРАСНОЯРСК ЗАПОВЕДНЫЕ СТОЛБЫ  285;;176.00 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848690;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/fcc6469f40d0b717a912ab648e940dad.jpg
Набор шоколадных конфет КРАСНОЯРСКОЕ ТАНГО;"1. саянале миндальный-без этикета 2 шт 2. крестовый король-без этикета 1 шт 3. краскоша на енисее без этикета 12 шт 4. краскоша на верблюде- без этикета 6 шт 5. Конфеты Ассорти Красконовское с помадно-сливочной начинкой без этикета 10 шт СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин Е322, эмульгатор Е476, ароматизатор, идентичный натуральному, «Ванилин»), сахар-песок, молоко цельное сгущенное с сахаром, патока крахмальная, ядро ореха кешью жареное тертое, ядро ореха фундука жареное тертое, ядро абрикосовой косточки тертое, какао тертое, какао-масло, жир специального назначения, молоко цельное сухое, вафли молотые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин Е322), жир специального назначения, кокосовое масло, изюм, ванилин, алкоголь (коньяк, спирт этиловый пищевой), ароматизаторы, идентичные натуральным: «Белый шоколад», «Ванильно-сливочный», «Апельсиновый».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г: белки —  5,8 г; жиры —  26,5 г; углеводы —   57,7  г ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  490 ккал/2050 кДж ГОСТ  4570-93УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (18 3)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей";279.60 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848689;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/8e3dfeb16660c86d83edebb1c41f9dbd.jpg
Набор шоколадных конфет КРАСНОЯРСКИЙ КРАЙ   350 Г;"Ассортимент 1. крестовый король-без этикета 3 шт 2. красноярье-без этикета 3 шт 3. саянале шоколадно-ореховый- без этикета 12 шт 4. краскоша театральный- без этикета 4 шт 5. краскоша друг белочки- без этикета 4 шт 6. Конфеты Сибирская красавица - без этикета 4 шт Сахар-песок, шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин Е322, эмульгатор Е476, ароматизатор, идентичный натуральному, «Ванилин»), белая шоколадная глазурь (сахар-песок, какао-масло, сухие молочные продукты, эмульгатор Е476, краситель пищевой Е160А), ядро ореха фундука жареное тертое и дробленое, кокосовое масло, патока крахмальная, фрукты в сиропе, крошка темного шоколада, вафли дробленые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин Е322), ядро ореха кешью жареное тертое, молоко сгущенное с сахаром, какао тертое, какао-масло, масло из коровьего молока, пюре черносмородиновое, жир специального назначения, изюм, молоко цельное сухое, алкоголь (коньяк, спирт этиловый пищевой), студнеобразователь — пектин Е440, регулятор кислотности — кислота лимонная Е330, комплексообразователь Е331, эмульгатор Е322, ароматизаторы, идентичные натуральным: «Айриш-крем», «Белый шоколад», «Ванилин», «Фундук», «Коньячный», «Лимон», «Барбарисовый»; краситель пищевой Е120.ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки -  5,0 г; жиры  -  30,0 г; углеводы  -   54,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:   500 ккал/2090 кДж ГОСТ   4570-93СРОК ГОДНОСТИ 3 МЕСЯЦА";580.40 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848688;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/5242fa528ebd73f11566d845d09a037e.jpg
Набор шоколадных конфет КРАСНОЯРСКИЕ СЮЖЕТЫ с видом часовни Параскевы Пятницы;"Ассортимент 1. Конфеты Черемуховый букет вз 11 шт СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, эквивалент масла какао, какао-порошок, эмульгатор — лецитин Е322, эмульгатор Е476, ароматизатор, идентичный натуральному, «Ванилин»), белая шоколадная глазурь (сахар-песок, какао-масло, жир специального назначения, молоко сухое обезжиренное, молоко сухое цельное, эмульгатор — лецитин Е322, ароматизатор, идентичный натуральному, «Йогурт», эмульгатор Е476, краситель пищевой Е160А), полуфабрикат кондитерский — начинка (сахар-песок, какао-масло, жир специального назначения, молоко сухое обезжиренное, молоко сухое цельное, эмульгатор — лецитин Е322, ароматизатор, идентичный натуральному, «Сливки»), начинка фруктовая (пюре яблочное, пюре из лесных ягод, сахар-песок, порошок черёмухи молотый, студнеобразователь — пектин Е440, ароматизатор, идентичный натуральному, «Черемуха»).ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки — 4,5 г; жиры  - 29,0 г; углеводы  -  55,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:   500 ккал/2090 кДж)ГОСТ   4570-93    УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (183)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей";471.24 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848687;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/dc6a08e95009b1b64fa88b344db7b338.jpg
Набор шоколадных конфет КРАСНОЯРСКИЕ СЮЖЕТЫ с видом фонтанов (жесть музыкальная);1. Конфеты Красноярские вечера вз 7 шт 2. Конфеты Красноярские закаты вз 7 шт 3. Конфеты Красноярские ночи вз 6 шт 4. Конфеты Красноярские рассветы вз 6 шт;490.31 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848686;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/e3413c0f3715219d4cccb8a00ec98f33.jpg
Набор шоколадных конфет КРАСНОЯРСКИЕ СЮЖЕТЫ с видом Фемиды  300 Г;"1. Конфеты Ассорти Красконовское с помадно-шоколадной начин без этикета 4 шт 2. Конфеты Ассорти Красконовское с шоколадной начинкой без этикета 4 шт 3. Конфеты Ассорти Красконовское с помадно-сливочной начинкой без этикета 6 шт СОСТАВ:  сахар-песок, шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванилин»), патока крахмальная, молоко сгущенное с сахаром, молоко цельное сухое, какао тертое, жир специального назначения, ядро ореха кешью и фундука жареное дробленое и тертое, сыворотка сухая молочная, вафли дробленые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин (Е322)), какао-порошок, какао-масло, стружка грецкого ореха, пюре черносмородиновое, алкоголь (спирт этиловый пищевой, коньяк), пенообразователь — восстановленный яичный белок, агент влагоудерживающий — глицерин (Е422), студнеобразователи: агар (Е406), пектин (Е440), кокосовое масло, регулятор кислотности — кислота лимонная (Е330), комплексообразователь — фосфомикс (Е331), ароматизаторы, идентичные натуральным: «Тоффи шоколадный», «Ванилин», «Ромовый», «Грецкий орех», «Барбарисовый»; краситель пищевой (Е120).ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки —   5,5 г; жиры  -  21,0 г; углеводы  -  62,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  460 ккал/1930 кДж УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (183)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей ГОСТ  4570-93СРОК ГОДНОСТИ 4 МЕСЯЦА";401.20 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848685;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/fa62e01d777b55d331b1e3a4b741b054.jpg
Набор шоколадных конфет КРАСНОЯРСКИЕ СЮЖЕТЫ ПРИРОДА  180Г;"СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванилин»), сахар-песок, патока крахмальная, молоко сгущенное с сахаром, какао тертое, жир специального назначения, кокосовое масло, какао-порошок, алкоголь (Спирт этиловый пищевой), пюре яблочное, консервант — сорбат калия (Е202), ароматизаторы, идентичные натуральным: «Ванильно-сливочный», «Ромовый», «Апельсин».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки — 4,0 г; жиры  -  23,0 г; углеводы  -  61,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  470 ккал.ГОСТ   4570-93УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (183)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей";146.78 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848684;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/bef92f7f153b0fe4bf06c39abd81cbfc.jpg
Набор шоколадных конфет КРАСНОЯРСКИЕ СТОЛБЫ ЗИМА  320 Г;"Ассортимент: «Симонель», «Саянские сливки», «Полевые маки», «Краскоша вечерком»СОСТАВ: сахар, шоколадная глазурь (сахар, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин, ароматизатор идентичный натуральному, «Ванилин»), патока, молоко сгущенное с сахаром, вафли молотые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин), какао тертое, жир специального назначения, какао-порошок, молоко сухое цельное, семя кунжута жареное, масло из коровьего молока, ядро ореха фундука и кешью жареное тертое, какао-масло, стабилизатор — мальтодекстрин, влагоудерживающий агент — пищевые волокна: нутрилоза, какао-порошок, студнеобразователь — желатин, алкоголь (спирт этиловый пищевой), кокосовое масло, ароматизаторы идентичные натуральным: «Пломбир», «Ваниль ореховая», «Тоффи шоколадный», «Ванилин»; соль пищевая.ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки — 3,5 г; жиры  -  16,0 г; углеводы  -  67,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г: 430 ккал/1800 кДж ГОСТ   4570УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (18 +- 3) С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей";213.28 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848683;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/f6d24b78261090ae86e5704aade7b9e1.jpg
Набор шоколадных конфет КРАСНОЯРСК (2-х ярус.)   490 Г;1. удивительная Сибирь 15 г без этикета 6 шт 2. тесоро жгучий шоколад ( в саше) без этикета 6 шт 3. Конфеты Красноярские - без этикета 4 шт 4. Конфеты Манна без этикета 4 шт 5. Конфеты Сибирская красавица - без этикета 4 шт 6. крестовый король-без этикета 1 шт 7. саянале миндальный-без этикета 4 шт 8. саянские ночи-без этикета 4 шт 9. саянале шоколадно-ореховый- без этикета 6 шт;736.64 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848682;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/67fa5ac32131461f3821c472c6bf7588.jpg
Набор шоколадных конфет КРАСНОЯРСК  320 Г;"краскоша театральный- без этикета 6 шт 2. крестовый король-без этикета 3 шт 3. саянале шоколадно-ореховый- без этикета 12 шт 4. Конфеты Саянские сливки - без этикета 6 шт 5. тесоро кофе со сливками без этикета 4 шт СОСТАВ: сахар-песок, шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин Е322, эмульгатор Е476, ароматизатор, идентичный натуральному, «Ванилин»), полуфабрикат кондитерский — начинка (сахар-песок, жир специального назначения, молоко сухое обезжиренное, эквивалент масла какао, эмульгатор — лецитин Е322, эмульгатор Е476, ароматизатор, идентичный натуральному, «Ванильно-сливочный», антиокислитель Е306), белая шоколадная глазурь (сахар-песок, какао-масло, сухие молочные продукты, эмульгатор — лецитин Е322, ароматизатор, идентичный натуральному, «Йогурт», эмульгатор Е476, краситель Е160А), стабилизатор — мальтодекстрин Е1400, влагоудерживающий агент — пищевые волокна: нутрилоза Е1200, студнеобразователь — желатин, патока крахмальная, шоколадная «вермишель», молоко сгущенное с сахаром, фрукты в сиропе, ядро ореха фундука жареное тертое и дробленое, какао-масло, ядро ореха кешью жареное тертое, какао тертое, молоко цельное сухое, изюм, вафли молотые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин Е322), масло из коровьего молока, какао-порошок, кофе натуральный молотый, алкоголь (спирт этиловый пищевой, коньяк),  ароматизаторы, идентичные натуральным: «Айриш-крим», «Сливки», «Пломбир», «Белый шоколад», «Лимон», «Капуччино», «Ванилин», «Коньячный»; соль пищевая.ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки -  5,0 г; жиры  -  29,0 г; углеводы  -  52,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  490 ккал/2050 кДж ГОСТ   4570-93УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (18±3)° С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей СРОК ГОДНОСТИ 3 МЕСЯЦА";346.00 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848681;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/48cd4d5b8ea6a6ae35ddfca64ab43274.jpg
Набор шоколадных конфет КРАСКОША ДАРИТ БУКЕТ РОЗ (красных)  325 Г;"1. тесоро жгучий шоколад ( в саше) без этикета 10 шт 2. крестовый король-без этикета 1 шт 3. саянале миндальный-без этикета 2 шт 4. саянале шоколадно-ореховый- без этикета 12 шт 5. снежная буря-без этикета 6 шт СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванилин»), сахар-песок, полуфабрикат кондитерская масса - начинка (сахар-песок, молоко сухое цельное, молоко сухое обезжиренное, жир специального назначения, эквивалент масла какао, сыворотка сухая молочная, эмульгатор — лецитин (Е322), эмульгатор (Е476), антиокислитель (Е306), ароматизатор, идентичный натуральному «Сливочный»), крошка темного шоколада, какао-порошок, молоко цельное сухое, ядро абрикосовой косточки, ядро ореха фундука жареное тертое и дробленое, вафли дробленые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин (Е322)), мука пшеничная обжаренная, ядро арахиса жареное дробленое, какао тертое, какао-масло, кокосовое масло, крошка - белая шоколадная глазурь (сахар-песок, какао-масло, сухие молочные продукты, эмульгатор (Е476), краситель пищевой (Е160А)), масло из коровьего молока, изюм, алкоголь (коньяк, спирт этиловый пищевой), регулятор кислотности — кислота лимонная (Е330), ароматизаторы, идентичные натуральным: «Ванильно-сливочный», «Айриш-крим», «Белый шоколад», «Ванилин», «Чили», «Какао», «Вафли».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г: белки — 6,0 г; жиры — 35,0 г; углеводы — 50,0 г ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г: 540 ккал/2260 кДж ГОСТ  4570-93УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (18 3)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей СРОК ГОДНОСТИ 3 МЕСЯЦА";316.50 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848680;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/b1bf0dcb90a47bbbffc27a4f6b05fd87.jpg
Набор шоколадных конфет ЗАПОВЕДНЫЕ СТОЛБЫ  340 Г;;161.50 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848679;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/2f3aa5f9ee2b8e8fb1a983443b2cc49b.jpg
Набор шоколадных конфет ЖЕСТЬ ОВАЛ (3 КОНФЕТЫ)  570 Г;;749.70 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848678;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/14830a35480e2954b9c59cf0517fbcbf.jpg
Набор шоколадных конфет ЖЕЛАЮ НЕЖНОСТИ, ЛЮБВИ И ВНИМАНИЯ  465 Г;Ассортимент 1. Конфеты Красноярские ночи без этикета 6 шт 2. Конфеты Красноярские вечера без этикета 5 шт 3. Конфеты Красноярские рассветы без этикета 6 шт 4. керман- фисташковое молочко- без этикета 7 шт 5. Конфеты Ореховый букет без этикета 8 шт 6. краскоша- любитель Оршада- без этикета 7 шт;343.00 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848677;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/8c9cca917542fec2e3dd96521b19ed41.jpg
Набор шоколадных конфет ВОСХИЩЕНИЕ КРАСКОШИ   130Г;"В январе 2015 года на фабрике «Краскон» стали выпускать фасованные в набор «Восхищение Краскоши» конфеты «Суфле с ароматом ванили» и «Суфле с ароматом лимона», а также «Суфле с ароматом вишни» весом 200 г. В мае 2015 года ЗАО «Краскон» приступил к выпуску фасованных данных конфет (кроме «Суфле с ароматом вишни») по отдельным сортам в соответствующие художественно оформленные коробочки весом по 200 г.      Это конфеты, глазированные шоколадной глазурью, с нежным сбивным  корпусом. Корпус (начинка) представляет собой сбитую на яичных белках массу с добавлением яблочной подварки.   Соответственно наименованиям конфеты имеют выраженный приятный вкус и  аромат  лимона, ванили и вишни.  Конфеты отличаются сравнительно небольшой калорийностью и лёгкостью Состав:«Суфле с ароматом  лимона»  Сахар, шоколадная глазурь, патока, подварка яблочная, пенообразователь — яичный белок, желирующий агент — агар, кислота лимонная, ароматизатор,идентичный натуральному: «Лимонный», пищевой натуральный краситель (жёлтый).Пищевая ценность 100г: белки — 3,0 г; жиры — 9,0 г; углеводы — 71,0 г.Энергетическая ценность 100 г: 370 ккал/1550 кДж. «Суфле с ароматом  ванили»Сахар, шоколадная глазурь, патока,  подварка яблочная, пенообразователь — яичный белок, желирующий агент — агар, кислота лимонная, ароматизатор, идентичный натуральному «Ванильно-сливочный».«Суфле с ароматом  вишни»сахар, шоколадная глазурь, патока, подварка яблочная, пенообразователь — яичный белок, желирующий агент — агар, кислота лимонная, ароматизатор, идентичный натуральному «Вишня».Пищевая ценность 100 г: белки — 3,0 г; жиры — 9,0; углеводы — 71,0 г Энергетическая ценность 100 г: 370 ккал/1550 кДж.Срок годности : 2 месяца.Конфеты выпущены по ГОСТ 4570.";60.70 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848676;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/1ba29e90aeb86d6e3493357263d97686.jpg
Набор шоколадных изделий ТЕСОРО ПРАЗДНИЧНЫЙ  380Г;"Ассортимент 1. красноярское танго-без этикета 10 шт 2. саянские ночи-без этикета 10 шт 3. Мармелад фигурный в шоколаде - без этикета 5 шт 4. краскоша на верблюде- без этикета 4 шт СОСТАВ: сахар-песок, шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванилин»), какао тертое, молоко цельное сухое, ядро ореха фундука жареное тертое и дробленое,  сыворотка сухая молочная, какао-масло, ядро ореха миндаля жареное тертое и дробленое, вафли молотые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин (Е322)), какао-порошок, ядро ореха кешью жареное тертое, жир специального назначения, кокосовое масло, патока крахмальная, студнеобразователь — пектин (Е440), алкоголь (спирт этиловый пищевой), регулятор кислотности — кислота лимонная (Е330), комплексообразователь — фосфомикс, ароматизаторы, идентичные натуральным: «Тоффи», «Ванилин», «Ромовый», «Малина»; краситель пищевой (Е120).ПИЩЕВАЯ ЦЕННОСТЬ 100 Г: белки –  6,5 г; жиры -  27,0 г; углеводы  - 57,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г: 490 ккал/2050 кДж ГОСТ 4570-93, ГОСТ 6442-89УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (183)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей   СРОК ГОДНОСТИ 3 МЕСЯЦА";266.90 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848675;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/f80f6ed10b8135aea5cac89c8a808afe.jpg
Фасованные конфеты КРАСНОЯРЬЕ Н;200 гр.;276.90 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848673;https://24-ok.ru/images/lots/2014_lots/09/20/07/54/25273/602d6658c435dc205fb1632906da6e80.jpg
Фасованные конфеты ФРУКТОВЫЕ НА СОРБИТЕ;180 гр.;91.50 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848672;https://24-ok.ru/images/lots/2014_lots/09/20/07/54/25273/b1f36937560dd0f9bd0ee2ff0ea01df1.jpg
Фасованные конфеты КРАСКОША ДРУГ БЕЛОЧКИ;170 гр.;223.38 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848670;https://24-ok.ru/images/lots/2014_lots/09/20/07/54/25273/e0a324b35359e54c701d88bb7675a48e.jpg
Набор шоколадных конфет КРАСНОЯРСКИЕ СЮЖЕТЫ ВОКЗАЛЫ;"140 гр.  1. Шоколадный король -без этикета 11 шт СОСТАВ:  шоколадная глазурь (сахар-песок, какао тертое, какао-масло, эквивалент масла какао, какао-порошок, эмульгатор — лецитин Е322, эмульгатор Е476, ароматизатор идентичный натуральному «Ванилин»), начинка — полуфабрикат кондитерская масса (сахар-песок, какао-масло, молоко сухое обезжиренное, молоко сухое цельное, жир специального назначения, какао-порошок, ядро ореха фундука жареное дробленое, вафли молотые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин Е322), ароматизатор идентичный натуральному «Ванильно-сливочный»).ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки — 5,5 г; жиры  - 35,0 г; углеводы  -  50,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:   540 ккал/2260 кДж ГОСТ   4570-93    УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (183)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей  СРОК ГОДНОСТИ 4 МЕСЯЦА";293.60 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848669;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/88562c6f71b4de5dc0337ecdbbf93e76.jpg
