наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Цвет
671 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Средняя, Ручки: Короткие, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на двух ручках и регулируемом ручкоремне. Формат А4. Одно отделение на молнии. Внутри: вместительный карман на молнии, карман для мобильного телефона и открытый карман. Габариты: ширина- 31; высота-32; глубина-11.";1 200 р.;13;https://olivi.su/catalog/zhenskie_sumki/671_sumka_zhenskaya/;https://olivi.su/upload/iblock/585/585717ccbfccc0af7b3bb6754c9d42ea.jpg https://olivi.su/upload/iblock/c2f/c2f3a27b95e6a4986dfe53570cdce0a0.jpg https://olivi.su/upload/iblock/18d/18d1159044fdac091018ac912e9db7f7.jpg https://olivi.su/upload/iblock/acc/acc2f7abd994867e3085c0d70d55e7cd.jpg https://olivi.su/upload/iblock/783/783badae0ac33a37987fdf68e02bb1de.jpg https://olivi.su/upload/iblock/099/099f60f9a07e081a75adf7b032cd30f7.jpg https://olivi.su/upload/iblock/136/13642d8d2d369581adc54c5ec7911c2d.jpg https://olivi.su/upload/iblock/f0d/f0d87575035bdfb06a34dd57fac81928.jpg https://olivi.su/upload/iblock/7ea/7ea8359bc0d168275894cafda912a890.jpg https://olivi.su/upload/iblock/c00/c008e1a9d93c767938f621ac84a2ada4.jpg https://olivi.su/upload/iblock/00a/00aa2f38086d2026414c6dddc78eb4e2.jpg https://olivi.su/upload/iblock/fb3/fb37eaef24ccd1666aa1469bffa2a011.jpg ;"голуб.;зелен.;шок./св.кор.;сер.кор.;сер./син.;чер./сер."
670 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Средние, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на двух средних ручках. Формат А4. Одно отделение на молнии. Внутри: вместительный карман на молнии, карман для мобильного телефона и открытый карман. Габариты: ширина- 30; высота-28,5; глубина-15.";1 130 р.;13;https://olivi.su/catalog/zhenskie_sumki/670_sumka_zhenskaya/;https://olivi.su/upload/iblock/435/4353fe9d77a24ab16e43aac17d922768.jpg;"беж.тем.;борд.тем.;сер.тем.;чер."
668 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на двух средних ручках и одной длинной. Формат А4. Одно отделение на молнии. Внутри: карман на молнии, карман для мобильного телефона и открытый карман. Габариты: ширина- 37; высота-27; глубина-11,5.";1 300 р.;13;https://olivi.su/catalog/zhenskie_sumki/668_sumka_zhenskaya/;https://olivi.su/upload/iblock/c4b/c4bd2d2609b4ab6139a2ef460ed9bbdd.jpg https://olivi.su/upload/iblock/b42/b42d8b4cc606606ef1c75149dd8f6216.jpg https://olivi.su/upload/iblock/81d/81d57d2ce950692305fcca342bc6e091.jpg https://olivi.su/upload/iblock/eb3/eb3d9fa2a765d48cecf81b044c21ea17.jpg https://olivi.su/upload/iblock/b30/b30233404c76699061095fd2f7fd2fd2.jpg https://olivi.su/upload/iblock/263/263946158514ef0585fd79a15b409694.jpg https://olivi.su/upload/iblock/b5b/b5b1e38786632f2e5062877398e0e250.jpg https://olivi.su/upload/iblock/ef2/ef2f04f0fda1d55e5ce505fea23c1314.jpg https://olivi.su/upload/iblock/cc9/cc923883b128e74a43ec263c810e1d0c.jpg https://olivi.su/upload/iblock/8ed/8ed53940d041945ee0c7b6d5ccab6480.jpg https://olivi.su/upload/iblock/a52/a522c9efeeee858c2b1973b45381eb2c.jpg https://olivi.su/upload/iblock/763/763e22cca8301fa612aa4f2a1bad17c4.jpg ;"бордо;зелен.тем.;кор.метал.;шок.;син.;чер."
667 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Короткие, Форма жесткости: Полужесткая, Количество отделений: 2; Сумка женская Оливи, полужесткая на двух ручках и регулируемом ручкоремне. Два отделения на молнии. Задняя стенка: карман на молнии. Внутри: карман на молнии,открытый карман, карман для мобильного телефона. Габариты: ширина- 29,5; высота- 21; глубина- 11.";1 150 р.;13;https://olivi.su/catalog/zhenskie_sumki/667_sumka_zhenskaya/;https://olivi.su/upload/iblock/868/86856d7cda820a2ca216c475574a9f53.jpg https://olivi.su/upload/iblock/41a/41a399c0964fdbc9ecf84be6953c16fc.jpg https://olivi.su/upload/iblock/f27/f2720164621eea440f3214b242e7f12d.jpg https://olivi.su/upload/iblock/32a/32af8bb7c176e2f66b70bb7cb720cff9.jpg https://olivi.su/upload/iblock/e68/e6806e209e9e5d1d03a778d23fe3ce5b.jpg https://olivi.su/upload/iblock/0a7/0a7917db22c1daa33fcc1e29d25a4602.jpg https://olivi.su/upload/iblock/209/2095495e1dd19bf63efd12406636e676.jpg https://olivi.su/upload/iblock/190/1909cc7a30c068adb78897e478679b9e.jpg https://olivi.su/upload/iblock/e6c/e6cd6c0fd1cae4c3a465587c80c2fedb.jpg https://olivi.su/upload/iblock/c39/c398a42ae6c9787812acfef9eea426d1.jpg https://olivi.su/upload/iblock/0e3/0e3060ed602341c1183d194d84f29bda.jpg https://olivi.su/upload/iblock/92a/92af6c4d4b6786a98131f74372b98651.jpg ;"беж./цветн.;кор./цветн.;красн./цветн.;чер./цветн."
666 Сумка-рюкзак;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Средняя, Ручки: Короткие, Форма жесткости: Мягкая, Количество отделений: 1; Сумка-рюкзак женская Оливи, мягкая на двух маленьких ручках и двух регулируемых ручках (67-132 см.) Формат А4. Ручки легко трансформируются, за счет чего сумку можно использовать как рюкзак и как сумку на длинном ремне. Одно отделение на молнии. Два вместительных боковых кармана. Передняя стенка: карман на молнии. Задняя стенка: карман на молнии. Внутри: открытый карман, карман на молнии. Габариты: ширина- 30; высота- 33; глубина- 12.";1 240 р.;13;https://olivi.su/catalog/zhenskie_sumki/666_sumka_ryukzak/;https://olivi.su/upload/iblock/ef9/ef90b2df060ebd22c4c365f647ff7e27.jpg https://olivi.su/upload/iblock/ede/edea57daeccda0af63b849771c7ba588.jpg https://olivi.su/upload/iblock/d7a/d7acad0e6b556e3ec114fdd90b636263.jpg https://olivi.su/upload/iblock/c35/c3534f0a7c412270072177199814c67e.jpg https://olivi.su/upload/iblock/591/5914c955d951ea06a91ef0c68d6939df.jpg https://olivi.su/upload/iblock/9ec/9ec7af333b70789ab4103f076444de40.jpg ;"сер.;син.;чер."
665 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Регулируемые, Форма жесткости: Жесткая, Количество отделений: 3; Сумка женская Оливи, жесткая на одной регулируемой ручке. Формат А4. Три отделения на молнии с клапаном. Внутри: карман на молнии, карман для мобильного телефона и открытый карман. Габариты: ширина- 32; высота-25; глубина-9.";1 320 р.;13;https://olivi.su/catalog/zhenskie_sumki/665_sumka_zhenskaya/;https://olivi.su/upload/iblock/b60/b602220d5db7a54faa1e327104220b01.jpg https://olivi.su/upload/iblock/616/61678de04743a16949f23b8413cb92dd.jpg https://olivi.su/upload/iblock/a67/a67dba5bc22e849d9f159ee4d9a97e4b.jpg https://olivi.su/upload/iblock/c12/c12cafeb9e60be381ba9d96cc9fd508f.jpg https://olivi.su/upload/iblock/a38/a38d8f6c42194312c8362fa7c81b3ec4.jpg https://olivi.su/upload/iblock/9ee/9eee3e1c0fccc75e36fb38fea6345db7.jpg https://olivi.su/upload/iblock/c87/c8747497ab42e9c75cad98c0af026058.jpg https://olivi.su/upload/iblock/61a/61a2548f78db920a44947621acdc1d69.jpg ;"лаванда;кор.;сер.тем.;чер."
664 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Средние, Форма жесткости: Полужесткая, Количество отделений: 2; Сумка женская Оливи, полужесткая на двух ручках. Формат А4.Два отделения на молнии. Задняя стенка: карман на молнии.Внутри: карман на молнии,открытый карман, карман для мобильного телефона. Габариты: ширина- 33; высота- 25,5; глубина- 12.";1 220 р.;13;https://olivi.su/catalog/zhenskie_sumki/664_sumka_zhenskaya/;https://olivi.su/upload/iblock/122/1229ddee56fd81b34588fc8d114861b0.jpg;"борд./цветн.;кор./цветн.;сер./цветн.;чер./цветн."
663 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Короткие, Форма жесткости: Полужесткая, Количество отделений: 1; Сумка женская Оливи, полужесткая на двух ручках и регулируемом ручкоремне. Формат А4.Одно отделение на молнии. Задняя стенка: карман на молнии.Внутри: карман на молнии,открытый карман, карман для мобильного телефона. Габариты: ширина- 33; высота- 25; глубина- 12.";1 160 р.;13;https://olivi.su/catalog/zhenskie_sumki/663_sumka_zhenskaya/;https://olivi.su/upload/iblock/a96/a960e48830c1afce33d2dc049c5aa9f8.jpg https://olivi.su/upload/iblock/eab/eab08e577facc82febc39f7c3f8115d5.jpg https://olivi.su/upload/iblock/973/973b0f7203d2cf896203232fb32e736c.jpg https://olivi.su/upload/iblock/175/175f49ac3d873cc1c8aef28ab83f4a3c.jpg https://olivi.su/upload/iblock/028/028ea2ef753d93421bfddfaba7241b09.jpg https://olivi.su/upload/iblock/2a1/2a1def80653d58b5686f124749cc70a8.jpg https://olivi.su/upload/iblock/f9f/f9f4a7b46d7a5faea699e9c7b741f2a9.jpg https://olivi.su/upload/iblock/e6d/e6db5b0bdeb0f227c6cfa95b731371bc.jpg https://olivi.su/upload/iblock/93d/93d723ff0063bffb0e7dadbf2b48e450.jpg https://olivi.su/upload/iblock/6fe/6fe6dfc18fcb07e890854c516e35e22d.jpg ;"беж.тем.;бордо;кор.свет.;син.;чер."
662 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Длинные, Форма жесткости: Полужесткая, Количество отделений: 2; Сумка женская Оливи, полужесткая на двух ручках. Формат А4.Два отделения на молниях. Задняя стенка: карман на молнии.Внутри: карман на молнии,открытый карман, карман для мобильного телефона. Габариты: ширина- 33; высота- 26; глубина- 12.";1 140 р.;13;https://olivi.su/catalog/zhenskie_sumki/662_sumka_zhenskaya/;https://olivi.su/upload/iblock/4e6/4e6b9bd46305321166e8d75f83530f1e.jpg https://olivi.su/upload/iblock/e1f/e1f3b3bccc19182acb4a6a4bcb6d3bb7.jpg https://olivi.su/upload/iblock/16e/16e8d79942f0213baaa02af6a2a1d9ac.jpg https://olivi.su/upload/iblock/af9/af9e1bfd544730bbe6012e4c2bc1da1d.jpg https://olivi.su/upload/iblock/e83/e834f4c99a6fc32b007403ad9418a19c.jpg https://olivi.su/upload/iblock/1bb/1bb751501cab42124f4f8f4ee2e20284.jpg https://olivi.su/upload/iblock/ad1/ad18d95515a9aec6ef8d128e3756af76.jpg https://olivi.su/upload/iblock/7d1/7d10bda2eb3105fa948ed993c1154c2a.jpg https://olivi.su/upload/iblock/1b8/1b8218c27aa452a3af7b8c07e2528378.jpg ;"беж.тем.;голуб.;кор.свет.;сер.;чер."
661 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Короткие, Форма жесткости: Жесткая, Количество отделений: 2; Сумка женская Оливи, жесткая на двух ручках и регулируемом ручкоремне. Два отделения на молнии. Передняя стенка: карман на молнии с клапаном. Задняя стенка: карман на молнии.Внутри: карман на молнии,открытый карман, карман для мобильного телефона и вместительный карман-перегородка для документов. Габариты: ширина- 32; высота- 24; глубина- 12.";1 350 р.;13;https://olivi.su/catalog/zhenskie_sumki/661_sumka_zhenskaya/;https://olivi.su/upload/iblock/712/712b225813d184fbd60ee51766825c88.jpg https://olivi.su/upload/iblock/43b/43bfe36fa39c37662ac1a26e20a2d6b7.jpg https://olivi.su/upload/iblock/46f/46f5c618a65e96b875267e3caa383070.jpg https://olivi.su/upload/iblock/b52/b52ffec574e78661260cbc7bed5b60d3.jpg https://olivi.su/upload/iblock/8e7/8e7bb746b1a9cc025b82557a9e7a4c52.jpg https://olivi.su/upload/iblock/e2e/e2eeeea6542e178bd6babd0ce3b37cae.jpg https://olivi.su/upload/iblock/387/38746ab12b77e790cd76af8643d16187.jpg https://olivi.su/upload/iblock/0f0/0f04457227ec87c3b129ee1469fd4b04.jpg https://olivi.su/upload/iblock/e70/e70d1ae61706e29661302583009e8d54.jpg https://olivi.su/upload/iblock/1c0/1c02cad73b9279bd853b6722fd48c12d.jpg https://olivi.su/upload/iblock/6b7/6b7b19ac7aef34f647e1f91b36a9c8b8.jpg https://olivi.su/upload/iblock/ab3/ab399911e7fc6dab4d09a79e03cc8047.jpg ;"бордо;голуб.замша;шок.замш.;сер.беж./кор.;сер./чер.;чер."
