наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Вес
Конфеты Студенческие игры с молочно-сливочным 200гр;Неглазированные конфеты, выполненные на основе молочной помады с добавлением сливочного масла. Конфеты имеют приятный молочно-сливочный вкус и аромат.;39.88 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848279;https://24-ok.ru/images/lots/2018_lots/04/17/08/25/158180/cc016ade54914d6e9861153e3a4719ce.jpeg;200
Конфеты Студенческие игры с молочно-сливочным;Неглазированные конфеты, выполненные на основе молочной помады с добавлением сливочного масла. Конфеты имеют приятный молочно-сливочный вкус и аромат.;95.73 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848278;https://24-ok.ru/images/lots/2018_lots/04/17/08/23/158180/89e8357f1f0c7b026cc56dc0af6af735.jpeg;500
Конфеты Студенческие игры со вкусом мандарина 200гр;Неглазированные конфеты, выполненные на основе молочной помады с добавлением сливочного масла. Конфеты имеют приятный мандариновый вкус и аромат.;30.29 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848277;https://24-ok.ru/images/lots/2018_lots/04/17/08/21/158180/b06e5b7ff21d045850be8a6000acf13a.jpeg;200
Конфеты Студенческие игры со вкусом мандарина вз;Неглазированные конфеты, выполненные на основе молочной помады с добавлением сливочного масла. Конфеты имеют приятный мандариновый вкус и аромат.;72.83 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848276;https://24-ok.ru/images/lots/2018_lots/04/16/03/30/158180/4225a83a6941c2c4bb7c2fdb0c7b594f.jpeg;500
Конфеты Тёмный замок;"СОСТАВ:  шоколадная глазурь (сахар, какао-тёртое, эквивалент масла какао,какао-порошок, эмульгатор — лецитин соевый, ароматизатор пищевой «Ванилин»), полуфабрикат кондитерский — начинка (сахар, рафинированное дезодорированное растительное пальмовое масло, сухое обезжиренное молоко, растительные негидрогенизированные масла: пальмовое, ши, иллипе),  регулятор кислотности — кислота лимонная, эмульгатор — лецитин соевый, антиокислители — смесь токоферолов, аскорбиновая кислота; ароматизатор пищевой «Ванильно-сливочный»), какао-порошок, ароматизатор пищевой ""Коньяк с ромом"".    ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки — 6,5 г; жиры  - 37,0 г; углеводы  - 49,0  г.    ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  550  ккал/ 2300 кДж    ГОСТ 4570, ТР ТС 021/2011     УСЛОВИЯ ХРАНЕНИЯ:  Хранить в сухом прохладном месте при температуре воздуха (18±3)С и относительной влажности воздуха не более 75%,  избегать попадания  прямых солнечных лучей.";277.44 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848275;https://24-ok.ru/images/lots/2017_lots/09/17/01/33/122237/c0bc33aeb0f361e1e8a254ce0768f93b.jpeg;500
Конфеты Душа Сибири																 - копия;"Это шоколадные конфеты куполообразной формы с нежной начинкой и кедровыми орешками на поверхности.СОСТАВ:  шоколадная глазурь (сахар, какао-тёртое, эквивалент масла какао, какао-порошок, эмульгатор-лецитин соевый, ароматизатор пищевой ""Ванилин""), сахар, молоко сгущенное с сахаром,  ядро фундука жареное тертое, ядро кедрового ореха, масло из коровьего молока, патока, спирт этиловый ректификованный, жир специального назначения, ароматизатор пищевой «Кедровый орех».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г: БЕЛКИ  –  6,0  г; ЖИРЫ  – 30,0  г; УГЛЕВОДЫ  –  55,0  г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г: 515 ККАЛ/2150 кДжГОСТ 4570, ТР ТС 021/2011УСЛОВИЯ ХРАНЕНИЯ: Хранить в сухом прохладном месте при температуре воздуха (18±3)С и относительной влажности воздуха не более 75%,  избегать попадания  прямых солнечных лучей.";286.11 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848273;https://24-ok.ru/images/lots/2017_lots/09/17/01/30/122237/84a7f881fe31d218b37aea37f3f921d7.jpeg;500
Конфеты Душа Сибири 0.2 фас;"Это шоколадные конфеты куполообразной формы с нежной начинкой и кедровыми орешками на поверхности.СОСТАВ:  шоколадная глазурь (сахар, какао-тёртое, эквивалент масла какао, какао-порошок, эмульгатор-лецитин соевый, ароматизатор пищевой ""Ванилин""), сахар, молоко сгущенное с сахаром,  ядро фундука жареное тертое, ядро кедрового ореха, масло из коровьего молока, патока, спирт этиловый ректификованный, жир специального назначения, ароматизатор пищевой «Кедровый орех».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г: БЕЛКИ  –  6,0  г; ЖИРЫ  – 30,0  г; УГЛЕВОДЫ  –  55,0  г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г: 515 ККАЛ/2150 кДжГОСТ 4570, ТР ТС 021/2011УСЛОВИЯ ХРАНЕНИЯ: Хранить в сухом прохладном месте при температуре воздуха (18±3)С и относительной влажности воздуха не более 75%,  избегать попадания  прямых солнечных лучей.";118.93 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848272;https://24-ok.ru/images/lots/2017_lots/09/17/01/30/122237/84a7f881fe31d218b37aea37f3f921d7.jpeg;200
Конфеты Тающий поцелуй;"Глазированные шоколадной глазурью конфеты продолговатой прямоугольной формы. Корпус состоит из сливочной помадной массы с добавлением какао-тертого.СОСТАВ: сахар, молоко сгущенное с сахаром, шоколадная глазурь (сахар-песок, какао тертое, какао-порошок, эквивалент масла какао, эмульгатор — лецитин соевый, ароматизатор пищевой «Ванилин»), какао-тертое, патока, масло из коровьего молока,  спирт этиловый ректификованный, ароматизатор пищевой «Капучино».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г: БЕЛКИ – 3,0 г; ЖИРЫ – 14,0 г; УГЛЕВОДЫ – 71,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  420 ККАЛ/1760 кДжГОСТ 4570УСЛОВИЯ ХРАНЕНИЯ: Хранить в сухом прохладном месте при температуре воздуха (18±3)С и относительной влажности воздуха не более 75%,  избегать попадания  прямых солнечных лучей.";131.48 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848271;https://24-ok.ru/images/lots/2017_lots/09/17/01/22/122237/b2efb13de39c3938116d2f25bfa188d3.jpeg;500
Ядра арахиса обжаренные вес;;109.20 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848270;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/f4e847810181fb09ece0cb73a7d14dde.jpg;500
Шоколад Радость в ладошке с фундуком 20г;;204.00 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848269;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/52818d7956fa77bdac850115b139ec55.jpg;500
