наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Размер
Костюм для девочки;"Состав: хлопок 100%; Цвет: коралловый,кошка; Ткань: кулирка.";153,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0744;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0744-330x330.jpg;4
Костюм для девочки;"Состав: хлопок 100%; Цвет: оранжевый, Кити; Ткань: кулирка.";153,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0743;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0743-330x330.jpg;8
Костюм для девочки;"Состав: хлопок 100%; Цвет: оранжевый,кошка; Ткань: кулирка.";153,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0742;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0742-330x330.jpg;4
Костюм для девочки;"Состав: хлопок 100%; Цвет: оранжевый, Мини Маус; Ткань: кулирка.";153,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0741;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0741-330x330.jpg;6
Костюм для девочки;"Состав: хлопок 100%; Цвет: жёлтый, Кити; Ткань: кулирка.";153,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0740;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0740-330x330.jpg;8
Костюм для девочки;"Состав: хлопок 100%; Цвет: жёлтый,кошка; Ткань: кулирка.";153,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0739;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0739-330x330.jpg;4
Костюм для девочки;"Состав: хлопок 100%; Цвет: жёлтый, Мини Маус; Ткань: кулирка.";153,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0738;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0738-330x330.jpg;6
Халат махровый;"Состав: хлопок 100%; Цвет: коралловый; Ткань: махра.";390,00;13;http://vasilek-omsk.ru/devochki-odezhda/R0189;http://vasilek-omsk.ru/image/cache/data/ROSSIYA/R0189-330x330.jpg;"98;104;110;116;122"
Халат махровый;"Состав: хлопок 100%; Цвет: розовый; Ткань: махра.";390,00;13;http://vasilek-omsk.ru/devochki-odezhda/R0186;http://vasilek-omsk.ru/image/cache/data/ROSSIYA/R0186-330x330.jpg;"98;104;110;116;122"
Блуза для девочки;"Состав: хлопок 80%, ПЭ 20%; Цвет: белый, белое кружево; Ткань: батист.";390,00;13;http://vasilek-omsk.ru/devochki-odezhda/KZ0016;http://vasilek-omsk.ru/image/cache/data/KZ/bluza/KZ0016-330x330.jpg;"32;34;36;38;40"
Блуза для девочки;"Состав: хлопок 80%, ПЭ 20%; Цвет: белый,бусины; Ткань: батист.";442,00;13;http://vasilek-omsk.ru/devochki-odezhda/KZ0015;http://vasilek-omsk.ru/image/cache/data/KZ/bluza/KZ0015-330x330.jpg;"34;36;38;40;42"
Блуза для девочки;"Состав: хлопок 80%, ПЭ 20%; Цвет: белый,синее кружево; Ткань: батист.";442,00;13;http://vasilek-omsk.ru/devochki-odezhda/KZ0014;http://vasilek-omsk.ru/image/cache/data/KZ/bluza/KZ0014-330x330.jpg;"32;34;36;38"
Блуза для девочки;"Состав: хлопок 80%, ПЭ 20%; Цвет: белый, брошь; Ткань: батист.";490,00;13;http://vasilek-omsk.ru/devochki-odezhda/KZ0013;http://vasilek-omsk.ru/image/cache/data/KZ/bluza/KZ0013-330x330.jpg;"32;34;36"
Майка для девочки;"Состав: хлопок 90%, лайкра 10%; Цвет: св.розовый, сова; Ткань: кулир с лайкрой. Аппликация выполнена из пайеток-перевертышей.  Замеры данной модели:  рост 80: спинка- 38, ширина- 25см;  рост 90: спинка- 39, ширина- 26см;  рост 100: спинка- 41, ширина- 27см;  рост 110: спинка- 42, ширина- 28см;  рост 120: спинка- 43, ширина- 30см.";240,00;13;http://vasilek-omsk.ru/devochki-odezhda/CH0249;http://vasilek-omsk.ru/image/cache/data/CHINA/CH0249-330x330.jpg;"80;90;100;110;120"
Майка для девочки;"Состав: хлопок 90%, лайкра 10%; Цвет: серый, сова; Ткань: кулир с лайкрой. Аппликация выполнена из пайеток-перевертышей.  Замеры данной модели:  рост 80: спинка- 38, ширина- 25см;  рост 90: спинка- 39, ширина- 26см;  рост 100: спинка- 41, ширина- 27см;  рост 110: спинка- 42, ширина- 28см;  рост 120: спинка- 43, ширина- 30см.";240,00;13;http://vasilek-omsk.ru/devochki-odezhda/CH0248;http://vasilek-omsk.ru/image/cache/data/CHINA/CH0248-330x330.jpg;"80;90;100;110;120"
Майка для девочки;"Состав: хлопок 90%, лайкра 10%; Цвет: белый, сова; Ткань: кулир с лайкрой. Аппликация выполнена из пайеток-перевертышей.  Замеры данной модели:  рост 80: спинка- 38, ширина- 25см;  рост 90: спинка- 39, ширина- 26см;  рост 100: спинка- 41, ширина- 27см;  рост 110: спинка- 42, ширина- 28см;  рост 120: спинка- 43, ширина- 30см.";240,00;13;http://vasilek-omsk.ru/devochki-odezhda/CH0247;http://vasilek-omsk.ru/image/cache/data/CHINA/CH0247-330x330.jpg;"80;90;100;110;120"
Майка для девочки;"Состав: хлопок 90%, лайкра 10%; Цвет: изумрудный, сова; Ткань: кулир с лайкрой. Аппликация выполнена из пайеток-перевертышей.  Замеры данной модели:  рост 80: спинка- 38, ширина- 25см;  рост 90: спинка- 39, ширина- 26см;  рост 100: спинка- 41, ширина- 27см;  рост 110: спинка- 42, ширина- 28см;  рост 120: спинка- 43, ширина- 30см.";240,00;13;http://vasilek-omsk.ru/devochki-odezhda/CH0246;http://vasilek-omsk.ru/image/cache/data/CHINA/CH0246-330x330.jpg;"80;90;100;110;120"
Майка для девочки;"Состав: хлопок 90%, лайкра 10%; Цвет: коралловый, сова; Ткань: кулир с лайкрой. Аппликация выполнена из пайеток-перевертышей.  Замеры данной модели:  рост 80: спинка- 38, ширина- 25см;  рост 90: спинка- 39, ширина- 26см;  рост 100: спинка- 41, ширина- 27см;  рост 110: спинка- 42, ширина- 28см;  рост 120: спинка- 43, ширина- 30см.";240,00;13;http://vasilek-omsk.ru/devochki-odezhda/CH0245;http://vasilek-omsk.ru/image/cache/data/CHINA/CH0245-330x330.jpg;"80;90;100;110;120"
Брюки для девочки 5-8;"Состав: хлопок 100%; Цвет: т.коралловый, мордочки; Ткань: футер с начесом. Маломерят.  Точные замеры данной модели: размер 5 (рост 110): длина общая- 57см; размер 6 (рост 116): длина общая- 62см; размер 7 (рост 122): длина общая- 66см; размер 8 (рост 128): длина общая- 68см.";165,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0723;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0687-330x330.jpg;8
Брюки для девочки 5-8;"Состав: хлопок 100%; Цвет: малиновый, мордочки; Ткань: футер с начесом. Маломерят.  Точные замеры данной модели: размер 5 (рост 110): длина общая- 57см; размер 6 (рост 116): длина общая- 62см; размер 7 (рост 122): длина общая- 66см; размер 8 (рост 128): длина общая- 68см.";165,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0722;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0689-330x330.jpg;"7;8"
Трусики для девочек COOL KID;"Состав: хлопок 95%, спандекс 5%; Цвет: микс, Пеппа; размеры: S (1-2 года), М (3-4 года), L (5-6 года)";26,00;13;http://vasilek-omsk.ru/devochki-odezhda/1063;http://vasilek-omsk.ru/image/cache/data/TRUSY/1063-330x330.jpg;S
Трусики для девочек COOL KID;"Состав: хлопок 95%, спандекс 5%; Цвет: микс, Скай; размеры: S (1-2 года), М (3-4 года), L (5-6 года)";26,00;13;http://vasilek-omsk.ru/devochki-odezhda/1060;http://vasilek-omsk.ru/image/cache/data/TRUSY/1060-330x330.jpg;S
Шорты для девочки 6-9 Sladik Mladik;"Состав: хлопок 100%; Цвет: синий, бабочки; Ткань: футер петельчатый. Модель с карманами.  Замеры данной модели: размер 6: длина- 26, обхват бедер- 39см; размер 7: длина- 27, обхват бедер- 42см; размер 8: длина- 28, обхват бедер- 44см; размер 9: длина- 29, обхват бедер- 46см.";135,00;13;http://vasilek-omsk.ru/devochki-odezhda/SM0246;http://vasilek-omsk.ru/image/cache/data/SladikMladik/SM0246-330x330.jpg;"6;7;8;9"
Шорты для девочки 6-9 Sladik Mladik;"Состав: хлопок 100%; Цвет: кремовый, цветы; Ткань: футер петельчатый. Модель с карманами.  Замеры данной модели: размер 6: длина- 26, обхват бедер- 39см; размер 7: длина- 27, обхват бедер- 42см; размер 8: длина- 28, обхват бедер- 44см; размер 9: длина- 29, обхват бедер- 46см.";135,00;13;http://vasilek-omsk.ru/devochki-odezhda/SM0245;http://vasilek-omsk.ru/image/cache/data/SladikMladik/SM0245-330x330.jpg;"6;7;8;9"
Шорты для девочки 6-9 Sladik Mladik;"Состав: хлопок 100%; Цвет: т. синий, цветы; Ткань: футер петельчатый. Модель с карманами.  Замеры данной модели: размер 6: длина- 26, обхват бедер- 39см; размер 7: длина- 27, обхват бедер- 42см; размер 8: длина- 28, обхват бедер- 44см; размер 9: длина- 29, обхват бедер- 46см.";135,00;13;http://vasilek-omsk.ru/devochki-odezhda/SM0244;http://vasilek-omsk.ru/image/cache/data/SladikMladik/SM0244-330x330.jpg;"6;7;8"
Шорты для девочки 6-9 Sladik Mladik;"Состав: хлопок 100%; Цвет: синий, звёзды; Ткань: футер петельчатый. Модель с карманами.  Замеры данной модели: размер 6: длина- 26, обхват бедер- 39см; размер 7: длина- 27, обхват бедер- 42см; размер 8: длина- 28, обхват бедер- 44см; размер 9: длина- 29, обхват бедер- 46см.";135,00;13;http://vasilek-omsk.ru/devochki-odezhda/SM0242;http://vasilek-omsk.ru/image/cache/data/SladikMladik/SM0242-3-330x330.jpg;"6;7;8;9"
Шорты для девочки 6-9 Sladik Mladik;"Состав: хлопок 100%; Цвет: ментоловый, цветочки; Ткань: футер петельчатый. Модель с карманами.  Замеры данной модели: размер 6: длина- 26, обхват бедер- 39см; размер 7: длина- 27, обхват бедер- 42см; размер 8: длина- 28, обхват бедер- 44см; размер 9: длина- 29, обхват бедер- 46см.";135,00;13;http://vasilek-omsk.ru/devochki-odezhda/SM0243;http://vasilek-omsk.ru/image/cache/data/SladikMladik/SM0243-330x330.jpg;"6;7;8;9"
Кофта для девочки K&R BABY;"Состав: хлопок 100%; Цвет: коричневый, бабочка; Ткань: интерлок.";128,00;13;http://vasilek-omsk.ru/devochki-odezhda/KR0018;http://vasilek-omsk.ru/image/cache/data/KR-baby/KR0018-1-330x330.jpg;"116;122;128;134"
Комплект для девочки 34-42 жаккард;"Состав: хлопок 100%; Цвет: микс, девочка; Ткань: жаккард. Цвет в ассортименте.  Размер 34: рост 110; размер 36: рост 116; размер 38: рост 122; размер 40: рост 128; размер 42: рост 134.";115,00;13;http://vasilek-omsk.ru/devochki-odezhda/R0185;http://vasilek-omsk.ru/image/cache/data/ROSSIYA/R0166-330x330.jpg;38
Футболка для девочки 1-4 UZCO;"Состав: хлопок 100%; Цвет: коралловый, Париж; Ткань: кулир. Качество плотное.";84,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0704;http://vasilek-omsk.ru/image/cache/data/UZ/UZCO/UZ0704-330x330.jpg;"1;2"
Футболка для девочки 1-4 UZCO;"Состав: хлопок 100%; Цвет: розовый, Париж; Ткань: кулир. Качество плотное.";84,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0701;http://vasilek-omsk.ru/image/cache/data/UZ/UZCO/UZ0701-330x330.jpg;1
Футболка для девочки 1-4 UZCO;"Состав: хлопок 100%; Цвет: св.розовый, Париж; Ткань: кулир. Качество плотное.";84,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0700;http://vasilek-omsk.ru/image/cache/data/UZ/UZCO/UZ0700-330x330.jpg;1
Футболка для девочки 1-4 UZCO;"Состав: хлопок 100%; Цвет: ментоловый, Париж; Ткань: кулир. Качество плотное.";84,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0698;http://vasilek-omsk.ru/image/cache/data/UZ/UZCO/UZ0698-330x330.jpg;1
Футболка для девочки 1-4 UZCO;"Состав: хлопок 100%; Цвет: жёлтый, Париж; Ткань: кулир. Качество плотное.";84,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0697;http://vasilek-omsk.ru/image/cache/data/UZ/UZCO/UZ0697-330x330.jpg;1
Футболка для девочки 1-4 UZCO;"Состав: хлопок 100%; Цвет: красный, Париж; Ткань: кулир. Качество плотное.";84,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0696;http://vasilek-omsk.ru/image/cache/data/UZ/UZCO/UZ0696-330x330.jpg;1
Лосины для девочки;"Состав: бамбук 100%; Цвет: чёрный, Эльза; Состав: бамбук 100%.  Точные замеры данной модели:  размер S (рост 92): длина- 50см, ширина по бёдрам- 29см;  размер M (рост 98): длина- 55см, ширина по бёдрам- 29см;  размер L (рост 104): длина- 67см, ширина по бёдрам- 30см.";150,00;13;http://vasilek-omsk.ru/devochki-odezhda/CH0310;http://vasilek-omsk.ru/image/cache/data/CHINA/CH0310-330x330.jpg;L
Лосины для девочки;"Состав: бамбук 100%; Цвет: синий, Эльза; Состав: бамбук 100%.  Точные замеры данной модели:  размер S (рост 92): длина- 50см, ширина по бёдрам- 29см;  размер M (рост 98): длина- 55см, ширина по бёдрам- 29см;  размер L (рост 104): длина- 67см, ширина по бёдрам- 30см.";150,00;13;http://vasilek-omsk.ru/devochki-odezhda/CH0309;http://vasilek-omsk.ru/image/cache/data/CHINA/CH0309-330x330.jpg;M
Лосины для девочки;"Состав: бамбук 100%; Цвет: голубой, Эльза; Состав: бамбук 100%.  Точные замеры данной модели:  размер S (рост 92): длина- 50см, ширина по бёдрам- 29см;  размер M (рост 98): длина- 55см, ширина по бёдрам- 29см;  размер L (рост 104): длина- 67см, ширина по бёдрам- 30см.";150,00;13;http://vasilek-omsk.ru/devochki-odezhda/CH0307;http://vasilek-omsk.ru/image/cache/data/CHINA/CH0307-330x330.jpg;S
