наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Размер
Блуза Артикул: 1675;Нежный, но в тоже время современный топ-блузка из летящего крепа. Декоративная кокетка актуально подчеркнута баской идентичного цвета. Блуза удачно сочетается и с джинсами и с фантазийными юбками. Состав: вискоза 20%  п/э 77% эластан 3%;600 руб.;13;http://www.mari-line.com/catalog/sale/5983;http://www.mari-line.com/upload/resize_cache/iblock/d3f/499_753_2/d3fdc5791888e5a4c5dfbc6fd539ddeb.jpg http://www.mari-line.com/upload/resize_cache/iblock/628/499_753_2/628501fe3a9aa345d05b0c805571a22f.jpg ;"44; 46; 50; 52; 54"
Блуза Артикул: 1645 бежевый;Прекрасная блуза-топ,  прилегающего к телу. Универсальный вариант базового гардероба, подойдет в комплект и к джинсам, и к классичекому жакету с юбкой. Трикотажное мерцающее полотно, нежное и шелковистое на ощупь. Небольшой воротничек-стойка придают изделию официальный стиль, а аккуратная прорезная капелька обозначают Вашу легкую сексуальность.Рукав-крылышко добавляет свободы движения и комфорт. Состав: п/э 97%, эластан 3%;500 руб.;13;http://www.mari-line.com/catalog/sale/5760;http://www.mari-line.com/upload/resize_cache/iblock/751/499_753_2/75134d39c9599e17a08d51da2e38bd17.jpg http://www.mari-line.com/upload/resize_cache/iblock/dd5/499_753_2/dd545c38dbb33800889a702c8ec44e36.jpg http://www.mari-line.com/upload/resize_cache/iblock/8ad/499_753_2/8ad1c6eba369513dd0707036178fa6c8.jpg ;44
Блуза Артикул: 1645 зеленый;Прекрасная блуза-топ,  прилегающего к телу. Универсальный вариант базового гардероба, подойдет в комплект и к джинсам, и к классичекому жакету с юбкой. Трикотажное мерцающее полотно, нежное и шелковистое на ощупь. Небольшой воротничек-стойка придают изделию официальный стиль, а аккуратная прорезная капелька обозначают Вашу легкую сексуальность.Рукав-крылышко добавляет свободы движения и комфорт. Состав: п/э 97%, эластан 3%;500 руб.;13;http://www.mari-line.com/catalog/sale/5761;http://www.mari-line.com/upload/resize_cache/iblock/2e7/499_753_2/2e7eb26da7f30ab3d7e8a99be3e23775.jpg http://www.mari-line.com/upload/resize_cache/iblock/1ac/499_753_2/1ac81e155a5e557e6edae5d98b44c17c.jpg ;"44; 52"
Платье Артикул: 1444;Платье из жаккардового трикотажа миди, полуприлегающего силуэта. Округлый вырез горловины, втачной рукав, отрезное по линии талии с расклешенной юбкой. С поясом. В этом платье женщина может выглядеть не только представительно-сдержанно, но и невероятно загадочно и привлекательно. Состав: вискоза 20%  п/э 77% эластан 3%;1000 руб.;13;http://www.mari-line.com/catalog/sale/4673;http://www.mari-line.com/upload/resize_cache/iblock/c32/499_753_2/c32ad43e60f0663b9f11cc6521575e22.jpg http://www.mari-line.com/upload/resize_cache/iblock/5cc/499_753_2/5cc6e599024d8f9ac9f6af2fc9556c1b.jpg http://www.mari-line.com/upload/resize_cache/iblock/8f6/499_753_2/8f61241c9f44f2019536a3cccd2170f8.jpg ;52
Брюки Артикул: 1402 серый;Брюки из меланжа прямого силуэта с прорезными карманами в боковых швах. Прекрасный предмет модного женского гардероба в деловом стиле, который отлично сочетается блузами, кардиганами и жакетами, прекрасный выбор на каждый день. Состав: п/э 100%;900 руб.;13;http://www.mari-line.com/catalog/sale/4051;http://www.mari-line.com/upload/resize_cache/iblock/207/499_753_2/2077dd00e43ed4efa2c4ac0201f3c811.jpg http://www.mari-line.com/upload/resize_cache/iblock/da4/499_753_2/da4e08bb0219028b8ae38cd3f2bbb49c.jpg ;48
Блуза Артикул: 1543;Трикотажный блузон, прямого силуэта на ножке. Округлая горловина отделана бейкой, приспущенный рукав 3/4 с манжетами. По спинке декоративный вырез с рельефной отделкой. Самое модное сочетание кружево и трикотаж. Романтизм востребован прекрасной половиной, что не удивительно: прекрасные женщины по своей сути - это романтика, которая всегда выше, всегда красивее приземленной реальности. Состав: вискоза 95%  эластан 5%;700 руб.;13;http://www.mari-line.com/catalog/sale/5284;http://www.mari-line.com/upload/resize_cache/iblock/3e6/499_753_2/3e6af845e98c436c3f982c3fce7cd2d3.jpg http://www.mari-line.com/upload/resize_cache/iblock/5ad/499_753_2/5adf3cb3c76f0784ea7fb6dc03dded51.jpg http://www.mari-line.com/upload/resize_cache/iblock/2b7/499_753_2/2b72eef8afa59acf730d2b133ec72e81.jpg ;"44; 46; 48"
Блуза Артикул: 1595;Комбинированный блузон из креп-шифона и трикотажа, свободного силуэта. Горловина с округлым вырезом,отделанная бейкой, рукав реглан 3/4 с манжетами. Без подкладки, без застежки. Асимметричные линии не спешат покидать модный олимп  Ведь именно оригинальный асимметричный крой является той заветной изюминкой, которую ищут многие модницы. Состав: вискоза 30%  п/э 65% лайкра 5%;800 руб.;13;http://www.mari-line.com/catalog/sale/5417;http://www.mari-line.com/upload/resize_cache/iblock/4e7/499_753_2/4e701119c44a01d1eac9cb90a85e597e.jpg http://www.mari-line.com/upload/resize_cache/iblock/8c3/499_753_2/8c3ad22dcb5775e65baa2dc76f0fa0a0.jpg http://www.mari-line.com/upload/resize_cache/iblock/67d/499_753_2/67dce3dadb6c5e6231818f089c4290a1.jpg ;42
Блуза Артикул: 1289;Блузка из искусственного шёлка, прямого силуэта. Горловина V-образным вырезом, втачной рукав 3/4 декорирован декоративным вырез с завязкой, отделка окантовкой. Спинка с кулиской и поясом. Без подкладки, без застежки. Элегантный способ оформления рукавов блузки при помощи завязок, подчеркнет вашу неповторимость и оригинальность. Состав: 100% п/э;900 руб.;13;http://www.mari-line.com/catalog/sale/5507;http://www.mari-line.com/upload/resize_cache/iblock/dbe/499_753_2/dbed89a58189a536ce9dd673ac294c66.jpg http://www.mari-line.com/upload/resize_cache/iblock/5b7/499_753_2/5b793c24eabec01dc6e955d312dbb3d5.jpg ;"52; 54; 56; 58; 60; 62"
Блуза Артикул: 1546;Блузка из крепа, прямого силуэта. Округлый вырез горловины и втачной рукав с вырезами отделаны окантовкой, переходящей. Нижняя часть переда блузки, декорирована защипами. Без подкладки, без застежки. Эта блуза способна подчеркнуть красоту и изящность женских прелестей, а сам образ сделать чувственным, легкими и женственным. Состав: вискоза 20%  п/э 77%  эластан 3%;900 руб.;13;http://www.mari-line.com/catalog/sale/5508;http://www.mari-line.com/upload/resize_cache/iblock/548/499_753_2/54847f6c0c9347339d2aac7c0c05ccd6.jpg http://www.mari-line.com/upload/resize_cache/iblock/1a6/499_753_2/1a6573ff294153c7e7a125edfb5feae0.jpg ;"42; 44; 46; 50"
Блуза Артикул: 1544 электрик;Трикотажный блузон, прямого силуэта на ножке. Округлая горловина с кокеткой из кружева, рукав реглан 3/4 с манжетами декорирован вставками из кружева. Женщины пользуются самым привычным и надежным оружием массового поражения: женственностью, чувственностью и сексуальностью и в этом поможет роскошная блузка с кружевом. Состав: вискоза 30% п/э 65% эластан 5%;700 руб.;13;http://www.mari-line.com/catalog/sale/5680;http://www.mari-line.com/upload/resize_cache/iblock/eac/499_753_2/eaca8942110417c9ff541a44b2dbc269.jpg http://www.mari-line.com/upload/resize_cache/iblock/93c/499_753_2/93cbbdc7dc53343ca9caf82bfc1c3e67.jpg ;52
Блуза Артикул: 1544 коралл;Трикотажный блузон, прямого силуэта на ножке. Округлая горловина с кокеткой из кружева, рукав реглан 3/4 с манжетами декорирован вставками из кружева. Женщины пользуются самым привычным и надежным оружием массового поражения: женственностью, чувственностью и сексуальностью и в этом поможет роскошная блузка с кружевом. Состав: вискоза 30% п/э 65% эластан 5%;700 руб.;13;http://www.mari-line.com/catalog/sale/5703;http://www.mari-line.com/upload/resize_cache/iblock/709/499_753_2/70923305729d2224e979f84f258b3966.jpg http://www.mari-line.com/upload/resize_cache/iblock/59e/499_753_2/59e12c690afe8a1f6567ae4b61a4650a.jpg http://www.mari-line.com/upload/resize_cache/iblock/f89/499_753_2/f890217d32fd3426a7161ddc5d776992.jpg ;"50; 52; 62"
Блуза Артикул: 1241 ч/б принт блуза;Комбинированная блуза из трикотажа с шифоном прямого силуэта. Округлый вырез горловины с короткой планкой на пуговицах, рукав-реглан длиной 3/4. Она идеально впишется в гардероб любой женщины, ее уникальность состоит в том, что ее можно легко сочетать с другими предметами одежды. Состав: вискоза 30% п/э 65% эластан 5%;700 руб.;13;http://www.mari-line.com/catalog/sale/4497;http://www.mari-line.com/upload/resize_cache/iblock/f4b/499_753_2/f4bcdd84ae90db309dbfdcddd37f908b.jpg http://www.mari-line.com/upload/resize_cache/iblock/e77/499_753_2/e77c6100bca60d736019caad27fc8c9e.jpg http://www.mari-line.com/upload/resize_cache/iblock/28a/499_753_2/28aad6fc26581b76fcdd442c7731cf5e.jpg ;"44; 46; 48; 50; 52"
Рубашка Артикул: 1261 красный;"Актуальная рубашка прямого силуэта из плотной, но тонкой ткани ""в клетку"". Отложной воротник, планка и манжеты на пуговицах, по спинки кокетка со встречной складкой, фигурный низ. Рубашка даже в самом нейтральном исполнении делает комплект немного дерзким и хулиганским. Состав: вискоза 45%  хлопок 25%  п/э 25%  лайкра 5%";900 руб.;13;http://www.mari-line.com/catalog/sale/4822;http://www.mari-line.com/upload/resize_cache/iblock/0ad/499_753_2/0ad74c0d0ae06039f475675e193452ed.jpg http://www.mari-line.com/upload/resize_cache/iblock/693/499_753_2/6933e17b89b691ea1115c15eb8688ce6.jpg http://www.mari-line.com/upload/resize_cache/iblock/63e/499_753_2/63e25cd8c6adfe70231da9b3fb9ddf17.jpg ;44
